,ARK_Doc1_Boeing-shares-fall.txt,ARK_Doc2_Booking-fall-travel.txt
became,0.0,0.03393770496482317
became household,0.0,0.03393770496482317
became household second,0.0,0.03393770496482317
bestcase,0.0335095168168023,0.0
bestcase scenario,0.0335095168168023,0.0
bestcase scenario first,0.0335095168168023,0.0
board,0.0,0.03393770496482317
board passengers,0.0,0.03393770496482317
board passengers would,0.0,0.03393770496482317
boeing,0.23842297203598323,0.07244086979257403
boeing agency,0.0335095168168023,0.0
boeing agency statement,0.0335095168168023,0.0
boeing aircraft,0.0,0.03393770496482317
boeing aircraft remains,0.0,0.03393770496482317
boeing american,0.0,0.03393770496482317
boeing american fleet,0.0,0.03393770496482317
boeing boeing,0.0335095168168023,0.0
boeing boeing shares,0.0335095168168023,0.0
boeing disclosed,0.0335095168168023,0.0
boeing disclosed filing,0.0335095168168023,0.0
boeing flight,0.0335095168168023,0.0
boeing flight statement,0.0335095168168023,0.0
boeing international,0.0335095168168023,0.0
boeing international regulators,0.0335095168168023,0.0
boeing making,0.0335095168168023,0.0
boeing making according,0.0335095168168023,0.0
boeing reviewing,0.0335095168168023,0.0
boeing reviewing complex,0.0335095168168023,0.0
boeing shares,0.0670190336336046,0.0
boeing shares thursday,0.0335095168168023,0.0
boeing shares trading,0.0335095168168023,0.0
boeing tragedies,0.0335095168168023,0.0
boeing tragedies weigh,0.0335095168168023,0.0
boeing worked,0.0,0.03393770496482317
boeing worked software,0.0,0.03393770496482317
bombarded,0.0,0.03393770496482317
bombarded airlines,0.0,0.03393770496482317
bombarded airlines questions,0.0,0.03393770496482317
california,0.0,0.03393770496482317
california schedules,0.0,0.03393770496482317
california schedules subject,0.0,0.03393770496482317
called,0.0335095168168023,0.0
called announcement,0.0335095168168023,0.0
called announcement another,0.0335095168168023,0.0
calls,0.0335095168168023,0.0
calls announcement,0.0335095168168023,0.0
calls announcement another,0.0335095168168023,0.0
canceled,0.0,0.03393770496482317
canceled flying,0.0,0.03393770496482317
canceled flying middecember,0.0,0.03393770496482317
cancellations,0.0,0.03393770496482317
cancellations twice,0.0,0.03393770496482317
cancellations twice boeing,0.0,0.03393770496482317
cannot,0.0670190336336046,0.0
cannot function,0.0670190336336046,0.0
cannot function efficiently,0.0670190336336046,0.0
cases,0.0,0.03393770496482317
cases still,0.0,0.03393770496482317
cases still airlines,0.0,0.03393770496482317
certification,0.0335095168168023,0.0
certification flight,0.0335095168168023,0.0
certification flight second,0.0335095168168023,0.0
change,0.0,0.03393770496482317
change course,0.0,0.03393770496482317
change course especially,0.0,0.03393770496482317
changes,0.0670190336336046,0.0
changes boeing,0.0335095168168023,0.0
changes boeing making,0.0335095168168023,0.0
changes planned,0.0335095168168023,0.0
changes planned software,0.0335095168168023,0.0
close,0.0335095168168023,0.0
close share,0.0335095168168023,0.0
close share regained,0.0335095168168023,0.0
companies,0.0335095168168023,0.0
companies attending,0.0335095168168023,0.0
companies attending boeing,0.0335095168168023,0.0
company,0.0335095168168023,0.0
company coordinate,0.0335095168168023,0.0
company coordinate pilot,0.0335095168168023,0.0
complex,0.0335095168168023,0.0
complex softwarehardware,0.0335095168168023,0.0
complex softwarehardware system,0.0335095168168023,0.0
convenient,0.0,0.03393770496482317
convenient expensive,0.0,0.03393770496482317
convenient expensive avoid,0.0,0.03393770496482317
convincing,0.0,0.03393770496482317
convincing people,0.0,0.03393770496482317
convincing people plane,0.0,0.03393770496482317
coordinate,0.0335095168168023,0.0
coordinate pilot,0.0335095168168023,0.0
coordinate pilot training,0.0335095168168023,0.0
coordinated,0.0670190336336046,0.0
coordinated investors,0.0335095168168023,0.0
coordinated investors america,0.0335095168168023,0.0
coordinated statement,0.0335095168168023,0.0
coordinated statement followed,0.0335095168168023,0.0
couple,0.0,0.03393770496482317
couple daily,0.0,0.03393770496482317
couple daily flights,0.0,0.03393770496482317
course,0.0,0.03393770496482317
course especially,0.0,0.03393770496482317
course especially grounding,0.0,0.03393770496482317
covered,0.0335095168168023,0.0
covered changes,0.0335095168168023,0.0
covered changes planned,0.0335095168168023,0.0
crash,0.0,0.03393770496482317
crash ethiopian,0.0,0.03393770496482317
crash ethiopian flight,0.0,0.03393770496482317
crashed,0.0335095168168023,0.0
crashed since,0.0335095168168023,0.0
crashed since october,0.0335095168168023,0.0
crashes,0.0,0.03393770496482317
crashes months,0.0,0.03393770496482317
crashes months killed,0.0,0.03393770496482317
daily,0.0,0.06787540992964634
daily flight,0.0,0.03393770496482317
daily flight route,0.0,0.03393770496482317
daily flights,0.0,0.03393770496482317
daily flights seattle,0.0,0.03393770496482317
decide,0.0,0.03393770496482317
decide whether,0.0,0.03393770496482317
decide whether represents,0.0,0.03393770496482317
degrees,0.0,0.03393770496482317
degrees flyer,0.0,0.03393770496482317
degrees flyer reluctance,0.0,0.03393770496482317
delay,0.0335095168168023,0.0
delay bestcase,0.0335095168168023,0.0
delay bestcase scenario,0.0335095168168023,0.0
designed,0.0335095168168023,0.0
designed discover,0.0335095168168023,0.0
designed discover highlight,0.0335095168168023,0.0
different,0.0,0.03393770496482317
different henry,0.0,0.03393770496482317
different henry harteveldt,0.0,0.03393770496482317
director,0.0335095168168023,0.0
director general,0.0335095168168023,0.0
director general alexandre,0.0335095168168023,0.0
disclosed,0.0335095168168023,0.0
disclosed filing,0.0335095168168023,0.0
disclosed filing issue,0.0335095168168023,0.0
discover,0.0335095168168023,0.0
discover highlight,0.0335095168168023,0.0
discover highlight potential,0.0335095168168023,0.0
doesnt,0.0,0.03393770496482317
doesnt airlines,0.0,0.03393770496482317
doesnt airlines waiting,0.0,0.03393770496482317
dramatically,0.0,0.03393770496482317
dramatically different,0.0,0.03393770496482317
dramatically different henry,0.0,0.03393770496482317
efficiently,0.0670190336336046,0.0
efficiently without,0.0670190336336046,0.0
efficiently without coordinated,0.0670190336336046,0.0
emergency,0.0335095168168023,0.0
emergency process,0.0335095168168023,0.0
emergency process pilots,0.0335095168168023,0.0
especially,0.0,0.03393770496482317
especially grounding,0.0,0.03393770496482317
especially grounding lingers,0.0,0.03393770496482317
ethiopian,0.0,0.03393770496482317
ethiopian flight,0.0,0.03393770496482317
ethiopian flight march,0.0,0.03393770496482317
example,0.0,0.03393770496482317
example thats,0.0,0.03393770496482317
example thats labor,0.0,0.03393770496482317
executives,0.0,0.03393770496482317
executives admit,0.0,0.03393770496482317
executives admit passengers,0.0,0.03393770496482317
expect,0.0335095168168023,0.0
expect forth,0.0335095168168023,0.0
expect forth final,0.0335095168168023,0.0
expects,0.0335095168168023,0.0
expects grounded,0.0335095168168023,0.0
expects grounded additional,0.0335095168168023,0.0
expensive,0.0,0.03393770496482317
