Rank,Term,Score
1,aircraft type'' feature online,2
1,max aircraft,2
1,fatal crash,2
4,holiday season flight,1.584962
4,boeing 737 american,1.584962
4,max flight cancellation,1.584962
4,federal aviation administration,1.584962
4,couple daily flight,1.584962
4,mainline aircraft southwest,1.584962
4,single daily flight,1.584962
4,social medium storm,1.584962
4,veteran travel analyst.,1.584962
4,ethiopian air flight,1.584962
14,software fix,1
14,usa today,1
14,schedule information,1
14,flyer reluctance,1
14,linger airline,1
14,u.s. airline,1
14,plane type,1
14,fleet southwest,1
14,henry harteveldt,1
14,u.s. operator,1
14,upcoming max,1
14,labor day,1
14,convincing people,1
14,mid-december monday,1
14,u.s. flight,1
14,max grounding,1
14,atmosphere research,1
31,airline datum giant oag,0
31,traveler shopping,0
31,southern california,0
31,future flight,0
31,airline executive,0
31,atmosphere research group,0
