,boeing,plane,safety,flight
boeing,1.0,0.16661832213965455,-0.46217041198107894,-0.2374364612979054
plane,0.16661832213965455,1.0,0.15762728902502002,0.33484962708336086
safety,-0.46217041198107894,0.15762728902502002,1.0,0.030194496103437884
flight,-0.2374364612979054,0.33484962708336086,0.030194496103437884,1.0
